objectid,subject,title,filename,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,format,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5,BMF15_F,IMLSAD_F,PFND_F,FCT3P_F,USER_F,UNI_F,OTHER_F,SOURCE
8400100195,CMU,CHILDREN'S MUSEUM OF ALABAMA,demo_001.jpg,421680937,,A52,,712110,image/jpeg,CHILDRENS MUSEUM OF ALABAMA,,,PO BOX 1548,MONTGOMERY,AL,36102-1548,36102,105 TALLAPOOSA STREET,MONTGOMERY,AL,36102-1548,36102,3348322777,,CHILDRENS MUSEUM OF ALABAMA,201312,3,50286,50286,PO BOX 1548,MONTGOMERY,AL,36102-1548,200511,,,,,-86.31088,32.38083,3,5,1,1,101,105 TALLAPOOSA STREET,MONTGOMERY,AL,36102-1548,36102,1,0,0,0,0,0,0,
8400100431,CMU,CHILDREN'S MUSEUM OF THE SHOALS,demo_001.jpg,721371633,,A52,90273892,712110,image/jpeg,CHILDRENS MUSEUM OF THE SHOALS INC,CHILDREN'S MUSEUM OF THE SHOALS,,2810 DARBY DR,FLORENCE,AL,35630-1524,35630,,,,,,2567650500,HTTP://SHOALSCHILDRENSMUSEUM.ORG/,CHILDRENS MUSEUM OF THE SHOALS INC,201312,3,88560,88560,2810 DARBY DR,FLORENCE,AL,35630-1524,199708,,,,,-87.64879,34.84045,3,5,1,1,77,2810 DARBY DR,FLORENCE,AL,35630-1524,35630,1,0,0,1,0,0,0,
8400200051,CMU,CHILDREN'S MUSEUM OF ALASKA,demo_001.jpg,261910346,,,,,image/jpeg,CHILDRENS MUSEUM OF ALASKA,,,PO BOX 112772,ANCHORAGE,AK,99511-9951,99511,,,,,,,,,,,,,,,,,,,,,,-149.86107,61.11024,6,8,1,2,20,PO BOX 112772,ANCHORAGE,AK,99511-9951,99511,0,0,0,0,0,0,0,
8400200055,CMU,FAIRBANKS CHILDREN'S MUSEUM,demo_001.jpg,264095584,,A50,,712110,image/jpeg,FAIRBANKS CHILDRENS MUSEUM,,,PO BOX 72477,FAIRBANKS,AK,99707-2477,99707,302 CUSHMAN STREET SUITE 101,FAIRBANKS,AK,99707-2477,99707,,,FAIRBANKS CHILDRENS MUSEUM,201312,4,156377,156377,302 CUSHMAN ST # 101,FAIRBANKS,AK,99701-4630,201107,,,,,-147.72078,64.84217,6,8,1,2,90,302 CUSHMAN STREET SUITE 101,FAIRBANKS,AK,99707-2477,99707,1,0,0,0,0,0,0,
8400400113,CMU,CHILDREN MUSEUM OF CHANDLER,demo_001.jpg,200114105,,A50,174997218,,image/jpeg,CHILDREN MUSEUM OF CHANDLER,,,PO BOX 2906,CHANDLER,AZ,85244-2906,85244,,,,,,4809630262,,,,,,,,,,,,,,,,-111.83867,33.30463,6,6,2,4,13,PO BOX 2906,CHANDLER,AZ,85244-2906,85244,0,0,0,0,0,0,0,
8400400188,CMU,SCOTTSDALE CHILDREN'S MUSEUM I,demo_001.jpg,352310079,,,12995477,,image/jpeg,SCOTTSDALE CHILDREN'S MUSEUM I,,,4727 E BELL RD,PHOENIX,AZ,85032-2308,85032,,,,,,6022530501,,,,,,,,,,,,,,,,-111.97926,33.63833,6,6,1,4,13,4727 E BELL RD,PHOENIX,AZ,85032-2308,85032,0,0,0,0,0,0,0,
8400400417,CMU,FLAGSTAFF CHILDREN'S MUSEUM,demo_001.jpg,860920838,,A50,,,image/jpeg,FLAGSTAFF CHILDRENS MUSEUM INCORPORATED,,,1817 N MEADOW LARK DR,FLAGSTAFF,AZ,86001,86001,,,,,,,,,,,,,,,,,,,,,,-111.64114,35.2153,6,6,1,4,5,1817 N MEADOW LARK DR,FLAGSTAFF,AZ,86001,86001,0,0,0,0,0,0,0,
8400400420,CMU,CHILDREN'S MUSEUM OF PHOENIX,demo_001.jpg,860934323,,A50,801996104,712110,image/jpeg,CHILDRENS MUSEUM OF PHOENIX,,,215 N 7TH ST,PHOENIX,AZ,85034-1012,85034,,,,,,6022530501,HTTP://CHILDRENSMUSEUMOFPHOENIX.ORG/,CHILDRENS MUSEUM OF PHOENIX,201308,6,3994098,3681237,215 N 7TH ST,PHOENIX,AZ,85034-1012,199905,,,,,-112.06503,33.4504,6,6,1,4,13,215 N 7TH ST,PHOENIX,AZ,85034-1012,85034,1,0,1,1,0,0,0,
8400500070,CMU,CHILDREN'S MUSEUM OF NORTHWEST ARKANSAS,demo_001.jpg,204718511,,A50,,712110,image/jpeg,CHILDREN'S MUSEUM OF NORTHWEST ARKANSAS,,,902 A S WALTON BLVD SUITE 1,BENTONVILLE,AR,72712-5348,72712,110 W CENTRAL AVE,BENTONVILLE,AR,72712-5348,72712,4796969280,HTTP://WWW.AMAZEUM.ORG/,CHILDRENS MUSEUM OF NORTHWESTARKANSAS,201312,8,14724333,14573938,209 NE 2ND ST,BENTONVILLE,AR,72712-5348,200606,,,,,-94.20959,36.37252,3,5,1,5,7,110 W CENTRAL AVE,BENTONVILLE,AR,72712-5348,72712,1,0,1,0,0,0,0,
8400500157,CMU,HOWARD COUNTY CHILDREN'S CENTER,demo_001.jpg,710427299,,A52,,712110,image/jpeg,HOWARD COUNTY CHILDRENS CENTER INC,,,1577 HIGHWAY 371 W,NASHVILLE,AR,71852-7598,71852,,,,,,8708451211,HTTP://WWW.HOWARDCOUNTYCHILDRENSCENTER.COM/,HOWARD COUNTY CHILDRENS CENTER INC,201406,7,6910378,4346136,1577 HIGHWAY 371 W,NASHVILLE,AR,71852-7598,197212,,,,,-93.86406,33.95166,3,5,3,5,61,1577 HIGHWAY 371 W,NASHVILLE,AR,71852-7598,71852,1,0,0,1,0,0,0,
