objectid,subject,title,filename,NTEEC,NAICS,format,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,web_url,TAXPER15,INCOME15,REVENUE15,date,longitude,latitude,GSTREET,GCITY,GSTATE,GZIP
8400100195,Children's museum,CHILDREN'S MUSEUM OF ALABAMA,demo_001.jpg,A52,712110,image/jpeg,CHILDRENS MUSEUM OF ALABAMA,,,PO BOX 1548,MONTGOMERY,AL,36102-1548,36102,,201312,50286,50286,2005,-86.31088,32.38083,105 TALLAPOOSA STREET,MONTGOMERY,AL,36102-1548
8400100431,Children's museum,CHILDREN'S MUSEUM OF THE SHOALS,demo_001.jpg,A52,712110,image/jpeg,CHILDRENS MUSEUM OF THE SHOALS INC,CHILDREN'S MUSEUM OF THE SHOALS,,2810 DARBY DR,FLORENCE,AL,35630-1524,35630,HTTP://SHOALSCHILDRENSMUSEUM.ORG/,201312,88560,88560,1997,-87.64879,34.84045,2810 DARBY DR,FLORENCE,AL,35630-1524
8400200051,Children's museum,CHILDREN'S MUSEUM OF ALASKA,demo_001.jpg,,,image/jpeg,CHILDRENS MUSEUM OF ALASKA,,,PO BOX 112772,ANCHORAGE,AK,99511-9951,99511,,,,,,-149.86107,61.11024,PO BOX 112772,ANCHORAGE,AK,99511-9951
8400200055,Children's museum,FAIRBANKS CHILDREN'S MUSEUM,demo_001.jpg,A50,712110,image/jpeg,FAIRBANKS CHILDRENS MUSEUM,,,PO BOX 72477,FAIRBANKS,AK,99707-2477,99707,,201312,156377,156377,2011,-147.72078,64.84217,302 CUSHMAN STREET SUITE 101,FAIRBANKS,AK,99707-2477
8400400113,Children's museum,CHILDREN MUSEUM OF CHANDLER,demo_001.jpg,A50,,image/jpeg,CHILDREN MUSEUM OF CHANDLER,,,PO BOX 2906,CHANDLER,AZ,85244-2906,85244,,,,,,-111.83867,33.30463,PO BOX 2906,CHANDLER,AZ,85244-2906
8400400188,Children's museum,SCOTTSDALE CHILDREN'S MUSEUM I,demo_001.jpg,,,image/jpeg,SCOTTSDALE CHILDREN'S MUSEUM I,,,4727 E BELL RD,PHOENIX,AZ,85032-2308,85032,,,,,,-111.97926,33.63833,4727 E BELL RD,PHOENIX,AZ,85032-2308
8400400417,Children's museum,FLAGSTAFF CHILDREN'S MUSEUM,demo_001.jpg,A50,,image/jpeg,FLAGSTAFF CHILDRENS MUSEUM INCORPORATED,,,1817 N MEADOW LARK DR,FLAGSTAFF,AZ,86001,86001,,,,,,-111.64114,35.2153,1817 N MEADOW LARK DR,FLAGSTAFF,AZ,86001
8400400420,Children's museum,CHILDREN'S MUSEUM OF PHOENIX,demo_001.jpg,A50,712110,image/jpeg,CHILDRENS MUSEUM OF PHOENIX,,,215 N 7TH ST,PHOENIX,AZ,85034-1012,85034,HTTP://CHILDRENSMUSEUMOFPHOENIX.ORG/,201308,3994098,3681237,1999,-112.06503,33.4504,215 N 7TH ST,PHOENIX,AZ,85034-1012
8400500070,Children's museum,CHILDREN'S MUSEUM OF NORTHWEST ARKANSAS,demo_001.jpg,A50,712110,image/jpeg,CHILDREN'S MUSEUM OF NORTHWEST ARKANSAS,,,902 A S WALTON BLVD SUITE 1,BENTONVILLE,AR,72712-5348,72712,HTTP://WWW.AMAZEUM.ORG/,201312,14724333,14573938,2006,-94.20959,36.37252,110 W CENTRAL AVE,BENTONVILLE,AR,72712-5348
8400500157,Children's museum,HOWARD COUNTY CHILDREN'S CENTER,demo_001.jpg,A52,712110,image/jpeg,HOWARD COUNTY CHILDRENS CENTER INC,,,1577 HIGHWAY 371 W,NASHVILLE,AR,71852-7598,71852,HTTP://WWW.HOWARDCOUNTYCHILDRENSCENTER.COM/,201406,6910378,4346136,1972,-93.86406,33.95166,1577 HIGHWAY 371 W,NASHVILLE,AR,71852-7598
8400500223,Children's museum,CHILDREN'S MUSEUM OF ARKANSAS,demo_001.jpg,A52,,image/jpeg,CHILDRENS MUSEUM OF ARKANSAS INC,,,500 PRESIDENT CLLINTON AVE,LITTLE ROCK,AR,72201,72201,,,,,,-92.16606,34.70142,500 PRESIDENT CLLINTON AVE,LITTLE ROCK,AR,72201
8400600098,Children's museum,TEMECULA CHILDREN'S MUSEUM,demo_001.jpg,A11,813219,image/jpeg,FRIENDS OF THE TEMECULA CHILDRENS MUSEUM,,,42081 MAIN ST,TEMECULA,CA,92590,92590,,201312,130746,89040,2006,-117.14955,33.49286,42081 MAIN ST,TEMECULA,CA,92590-2769
8400600333,Children's museum,LAKE ARROWHEAD CHILDREN'S MUSEUM,demo_001.jpg,,,image/jpeg,LAKE ARROWHEAD CHILDREN'S MUSEUM,,LAKE ARROWHEAD CHILDREN'S MSM,28200 HIGHWAY 189,LAKE ARROWHEAD,CA,92352,92352,,,,,,-117.18978,34.2493,28200 HIGHWAY 189,LAKE ARROWHEAD,CA,92352
8400600373,Children's museum,IMAGINE U CHILDREN'S MUSEUM,demo_001.jpg,,,image/jpeg,IMAGINE U CHILDREN'S MUSEUM,CHILDREN'S MUSEUM OF THE SEQUOIAS,,700 E MAIN ST,VISALIA,CA,93292,93292,HTTP://IMAGINEUMUSEUM.ORG/,,,,,-119.28524,36.33027,700 E MAIN ST,VISALIA,CA,93292
8400600465,Children's museum,CHILDREN'S MUSEUM OF ORANGE COUNTY,demo_001.jpg,A52,712110,image/jpeg,PRETEND CITY THE CHILDRENS MUSEUM OF ORANGE COUNTY,,,17752 SKY PARK CIR,IRVINE,CA,92614,92614,HTTP://PRETENDCITY.ORG/,201312,3874620,3619430,1998,-117.74236,33.64063,29 HUBBLE,IRVINE,CA,92614
8400600474,Children's museum,CHILDREN'S MUSEUM OF LOS ANGLES,demo_001.jpg,,,image/jpeg,CHILDRENS MUSEUM OF LA,,,11800 FOOTHILL BLVD,SYLMAR,CA,91342,91342,,,,,,-118.39416,34.27793,11800 FOOTHILL BLVD,SYLMAR,CA,91342
8400600510,Children's museum,CHILDREN'S DISCOVERY MUSEUM,demo_001.jpg,,,image/jpeg,CHILDREN'S DISCOVERY MUSEUM,,,2787 STATE ST,CARLSBAD,CA,92008,92008,,,,,,-117.3506,33.16175,2787 STATE ST,CARLSBAD,CA,92008
8400600685,Children's museum,FREMONT CHILDREN'S PEACE PAVILION,demo_001.jpg,A52,712110,image/jpeg,FREMONT CHILDRENS PEACE PAVILION,,,34050 PASEO PADRE PARKWAY,FREMONT,CA,94555-2366,94555,,201406,0,0,2004,-122.04076,37.57581,34050 PASEO PADRE PKWY,FREMONT,CA,94555-2366
8400600709,Children's museum,SAN MATEO CHILDREN MUSEUM,demo_001.jpg,,,image/jpeg,SAN MATEO CHILDREN MUSEUM FOUNDATION INC,,,138 SOUTH B STREET,SAN MATEO,CA,94401,94401,,,,,,-122.32381,37.56667,138 SOUTH B STREET,SAN MATEO,CA,94401
8400600722,Children's museum,SOUTH LAKE ALLIANCE CHILDREN'S MUSEUM OF ARTS & SCIENCE,demo_001.jpg,A52,712110,image/jpeg,SOUTH LAKE ALLIANCE CHILDRENS MUSEUM OF ARTS & SCIENCE OF C,,SOUTH LAKE ALLIANCE CHILDRENS MUSEUM OF ARTS & SCIENCE OF,PO BOX 2634,CLEARLAKE,CA,95422-2634,95422,,201312,0,0,2005,-122.64,38.95935,PO BOX 2634,CLEARLAKE,CA,95422-2634
8400600725,Children's museum,ZIMMER CHILDREN'S MUSEUM,demo_001.jpg,A50,712110,image/jpeg,ZIMMER CHILDRENS MUSEUM,ZIMMER CHILDREN'S MUSEUM,,6505 WILSHIRE BL 1ST FL,LOS ANGELES,CA,90048-4906,90048,HTTP://WWW.ZIMMERMUSEUM.ORG,201312,2474181,2186880,2005,-118.36989,34.06402,6505 WILSHIRE BL 1ST FL,LOS ANGELES,CA,90048-4906
8400600753,Children's museum,SACRAMENTO CHILDREN'S MUSEUM,demo_001.jpg,A52,712110,image/jpeg,SACRAMENTO CHILDRENS MUSEUM,,,2701 PROSPECT PARK DR,RANCHO CORDOVA,CA,95670-6406,95670,HTTP://WWW.SACKIDS.ORG,201312,557438,532113,2005,-121.28398,38.58872,2701 PROSPECT PARK DR ST,RNCHO CORDOV,CA,95670-6406
8400600771,Children's museum,CHILDREN'S MUSEUM OF SONOMA COUNTY,demo_001.jpg,A52,712110,image/jpeg,CHILDRENS MUSEUM OF SONOMA COUNTY,,,1835 WEST STEELE LANE,SANTA ROSA,CA,95406-2323,95406,HTTP://WWW.CMOSC.ORG/HOME.HTML,201306,1037603,1026044,2005,-122.73062,38.45793,PO BOX 12323,SANTA ROSA,CA,95406-2323
